Window,Covariate,n,nClusters,Start_ms,End_ms,EffectSize_r,PeakChannel
post,age,16,0,NaN,NaN,NaN,
post,sex,16,0,NaN,NaN,NaN,
post,education,16,0,NaN,NaN,NaN,
post,driving,16,0,NaN,NaN,NaN,
post,sports,16,0,NaN,NaN,NaN,
post,videogames,16,0,NaN,NaN,NaN,
post,meditation,16,0,NaN,NaN,NaN,
post,intuition,16,0,NaN,NaN,NaN,
post,extraversion,14,0,NaN,NaN,NaN,
post,agreeableness,14,0,NaN,NaN,NaN,
post,conscientiousness,14,0,NaN,NaN,NaN,
post,emotional_stability,14,0,NaN,NaN,NaN,
post,openness,14,0,NaN,NaN,NaN,
pre,age,16,0,NaN,NaN,NaN,
pre,sex,16,0,NaN,NaN,NaN,
pre,education,16,0,NaN,NaN,NaN,
pre,driving,16,0,NaN,NaN,NaN,
pre,sports,16,0,NaN,NaN,NaN,
pre,videogames,16,0,NaN,NaN,NaN,
pre,meditation,16,0,NaN,NaN,NaN,
pre,intuition,16,0,NaN,NaN,NaN,
pre,extraversion,14,0,NaN,NaN,NaN,
pre,agreeableness,14,0,NaN,NaN,NaN,
pre,conscientiousness,14,0,NaN,NaN,NaN,
pre,emotional_stability,14,0,NaN,NaN,NaN,
pre,openness,14,0,NaN,NaN,NaN,
