Window,Covariate,n,r,p,rho,q
pre,age,16,-0.14416582732915,0.594253717829037,-0.252400242378927,0.81318929808184
pre,sex,16,-0.269698745123622,0.312416161182034,-0.280056016805602,0.81318929808184
pre,education,16,-0.223872588231014,0.404558743862647,-0.231720413603242,0.81318929808184
pre,driving,16,-0.167551888568288,0.535092066129785,-0.175643427507965,0.81318929808184
pre,sports,16,-0.253871212586541,0.342731508070652,-0.306374004567696,0.81318929808184
pre,videogames,16,0.124497665974277,0.645954698910645,0.234782388242074,0.839741108583839
pre,meditation,16,0.0578259418340457,0.831547084428984,0.0804027650096139,0.900842674798066
pre,intuition,16,-0.170111470017965,0.528781489700238,-0.204980015422697,0.81318929808184
pre,extraversion,14,-0.192497229546987,0.509692478583787,-0.141284374307695,0.81318929808184
pre,agreeableness,14,-0.207320305313938,0.476970265741531,-0.294210119220774,0.81318929808184
pre,conscientiousness,14,-0.16179275665998,0.58054100607953,-0.214774975996592,0.81318929808184
pre,emotional_stability,14,0.160678480143521,0.583185165929162,0.102372653740415,0.81318929808184
pre,openness,14,0.225016628538937,0.439263218354831,0.181710276451059,0.81318929808184
post,age,16,-0.0111313819969655,0.967364006035689,-0.143174406495649,0.967364006035689
post,sex,16,-0.395901553847798,0.129022329818824,-0.504100830250084,0.81318929808184
post,education,16,0.069008405283939,0.799538544858118,0.11959763282748,0.900842674798066
post,driving,16,-0.502312846282008,0.0473842431241369,-0.468382473354573,0.81318929808184
post,sports,16,0.0919679166648004,0.734798298011201,0.219267669935704,0.900842674798066
post,videogames,16,0.0779400377842563,0.77418349257063,0.349201653398022,0.900842674798066
post,meditation,16,-0.288314073378269,0.278847184375958,-0.285202260788819,0.81318929808184
post,intuition,16,-0.383107378601351,0.143003880233314,-0.286972021591776,0.81318929808184
post,extraversion,14,0.459937967199905,0.0979748183038584,0.432823559387067,0.81318929808184
post,agreeableness,14,-0.033901266797862,0.908403757355876,-0.101134728482141,0.944739907650112
post,conscientiousness,14,0.35652467251575,0.210845367772911,0.259990760416928,0.81318929808184
post,emotional_stability,14,-0.232543411758969,0.423690705204088,-0.0442063732060881,0.81318929808184
post,openness,14,0.248426222050178,0.391772715858616,0.2316806024751,0.81318929808184
