window,freq_hz,mean_db,sem_db
pre,3.0,0.3168,0.1188
pre,3.5,0.3078,0.1169
pre,4.0,0.3287,0.1215
pre,4.5,0.3497,0.1243
pre,5.0,0.3548,0.1251
pre,5.5,0.3519,0.1242
pre,6.0,0.3477,0.1237
pre,6.5,0.3451,0.1247
pre,7.0,0.3429,0.1276
pre,7.5,0.3409,0.1326
pre,8.0,0.3421,0.1378
pre,8.5,0.3486,0.1408
pre,9.0,0.3559,0.1417
pre,9.5,0.3611,0.1406
pre,10.0,0.3619,0.1384
pre,10.5,0.3583,0.1359
pre,11.0,0.3512,0.1341
pre,11.5,0.3426,0.1324
pre,12.0,0.3322,0.1306
pre,12.5,0.3194,0.1286
pre,13.0,0.3044,0.1268
pre,13.5,0.2888,0.1251
pre,14.0,0.2729,0.1237
pre,14.5,0.2583,0.1224
pre,15.0,0.2464,0.1211
pre,15.5,0.2372,0.1201
pre,16.0,0.2315,0.1192
pre,16.5,0.2276,0.1186
pre,17.0,0.2256,0.1181
pre,17.5,0.2248,0.1175
pre,18.0,0.2253,0.1168
pre,18.5,0.2265,0.1161
pre,19.0,0.2287,0.1156
pre,19.5,0.2312,0.1152
pre,20.0,0.2333,0.1147
pre,20.5,0.2356,0.1146
pre,21.0,0.2373,0.1147
pre,21.5,0.2401,0.1151
pre,22.0,0.2438,0.1155
pre,22.5,0.2481,0.1162
pre,23.0,0.2534,0.1167
pre,23.5,0.2599,0.1172
pre,24.0,0.2671,0.1178
pre,24.5,0.2756,0.1185
pre,25.0,0.2845,0.1189
pre,25.5,0.2938,0.1194
pre,26.0,0.3034,0.1201
pre,26.5,0.3122,0.1209
pre,27.0,0.3215,0.1220
pre,27.5,0.3310,0.1235
pre,28.0,0.3393,0.1249
pre,28.5,0.3469,0.1263
pre,29.0,0.3543,0.1280
pre,29.5,0.3613,0.1298
pre,30.0,0.3681,0.1315
post,3.0,1.4922,0.2226
post,3.5,1.5747,0.2323
post,4.0,1.5773,0.2310
post,4.5,1.5507,0.2252
post,5.0,1.5149,0.2175
post,5.5,1.4732,0.2094
post,6.0,1.4245,0.2011
post,6.5,1.3705,0.1934
post,7.0,1.3127,0.1882
post,7.5,1.2519,0.1864
post,8.0,1.1887,0.1875
post,8.5,1.1236,0.1902
post,9.0,1.0596,0.1928
post,9.5,0.9975,0.1947
post,10.0,0.9377,0.1960
post,10.5,0.8803,0.1970
post,11.0,0.8255,0.1977
post,11.5,0.7748,0.1980
post,12.0,0.7280,0.1977
post,12.5,0.6846,0.1967
post,13.0,0.6430,0.1951
post,13.5,0.6033,0.1930
post,14.0,0.5648,0.1905
post,14.5,0.5267,0.1877
post,15.0,0.4879,0.1849
post,15.5,0.4488,0.1822
post,16.0,0.4094,0.1798
post,16.5,0.3707,0.1775
post,17.0,0.3334,0.1752
post,17.5,0.2987,0.1728
post,18.0,0.2667,0.1704
post,18.5,0.2372,0.1680
post,19.0,0.2100,0.1656
post,19.5,0.1845,0.1634
post,20.0,0.1615,0.1611
post,20.5,0.1414,0.1590
post,21.0,0.1248,0.1566
post,21.5,0.1115,0.1544
post,22.0,0.1025,0.1521
post,22.5,0.0973,0.1499
post,23.0,0.0957,0.1477
post,23.5,0.0981,0.1456
post,24.0,0.1038,0.1437
post,24.5,0.1124,0.1422
post,25.0,0.1230,0.1409
post,25.5,0.1352,0.1401
post,26.0,0.1489,0.1400
post,26.5,0.1639,0.1401
post,27.0,0.1800,0.1406
post,27.5,0.1967,0.1416
post,28.0,0.2140,0.1427
post,28.5,0.2314,0.1439
post,29.0,0.2486,0.1455
post,29.5,0.2653,0.1472
post,30.0,0.2821,0.1489
