sub,r_skipped,p_perm_10k,n_trials,n_collision,n_nocollision
sub-001,0.253843919773123,0.0154984501549845,115,53,62
sub-002,0.266807313642757,0.0211978802119788,88,49,39
sub-003,0.490238788584741,9.99900009999e-05,106,46,60
sub-004,0.242161254199328,0.0335966403359664,104,49,55
sub-005,0.207131765221451,0.0460953904609539,115,56,59
sub-006,0.254633851424541,0.0163983601639836,114,50,64
sub-007,0.238274932614555,0.0294970502949705,113,56,57
sub-008,0.467322074096743,9.99900009999e-05,106,55,51
sub-009,0.230566901452977,0.0532946705329467,88,53,35
sub-010,0.257342327468277,0.0323967603239676,94,45,49
sub-011,0.184397677793904,0.0990900909909009,108,50,58
sub-012,0.282157514168458,0.0192980701929807,91,42,49
sub-013,0.799088792143363,9.99900009999e-05,94,55,39
sub-014,0.263982683982684,0.0166983301669833,106,53,53
sub-015,0.277965307079231,0.0271972802719728,86,49,37
sub-016,0.434687957659272,9.99900009999e-05,107,43,64
