Row,nBad,artPct,nBadEp,nCr,nNoCr
sub-001,0,2.04949632437879,3,53,62
sub-002,1,11.8924714884396,3,49,39
sub-003,3,1.3300344507057,4,46,60
sub-004,3,7.40920651139158,3,49,55
sub-006,2,0.0256854812817055,4,56,59
sub-007,2,1.06293327586255,3,50,64
sub-008,0,0.138495224157604,5,56,57
sub-010,0,1.49193298954578,4,55,51
sub-011,3,3.46657593845779,3,53,35
sub-012,3,6.45685369565157,3,45,49
sub-013,1,0.702177498717895,6,50,58
sub-014,1,5.17258229806293,3,42,49
sub-015,1,5.70978070063496,3,55,39
sub-016,0,2.63387859143054,4,53,53
sub-017,2,1.3858264118178,2,49,37
sub-018,1,2.7775734442728,4,43,64
