Window,Modality,N,Classifier,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,PermutationP
post,EEG,16,SVM,78.125,81.25,75,76.4706,78.7879,0.871094,0.000999
post,EEG,16,k-nearest neighbours,81.25,75,87.5,85.7143,80,0.933594,0.001998
post,EEG,16,Naive Bayes,75,75,75,75,75,0.832031,0.006993
post,EEG,16,Random forest,81.25,68.75,93.75,91.6667,78.5714,0.902344,0.002997
post,EEG,16,Decision tree,93.75,87.5,100,100,93.3333,0.882813,0.000999
post,EEG,16,Neural network (MLP),84.375,75,93.75,92.3077,82.7586,0.929688,0.000999
pre,EEG,16,SVM,43.75,18.75,68.75,37.5,25,0.371094,0.808192
pre,EEG,16,k-nearest neighbours,31.25,43.75,18.75,35,38.8889,0.353516,0.959041
pre,EEG,16,Naive Bayes,50,68.75,31.25,50,57.8947,0.423828,0.574426
pre,EEG,16,Random forest,43.75,31.25,56.25,41.6667,35.7143,0.355469,0.775225
pre,EEG,16,Decision tree,40.625,37.5,43.75,40,38.7097,0.335938,0.736264
pre,EEG,16,Neural network (MLP),34.375,50,18.75,38.0952,43.2432,0.378906,0.942058
post,EEG,14,SVM,82.1429,78.5714,85.7143,84.6154,81.4815,0.852041,
post,EEG,14,k-nearest neighbours,78.5714,64.2857,92.8571,90,75,0.923469,
post,EEG,14,Naive Bayes,78.5714,78.5714,78.5714,78.5714,78.5714,0.854592,
post,EEG,14,Random forest,85.7143,78.5714,92.8571,91.6667,84.6154,0.908163,
post,EEG,14,Decision tree,82.1429,85.7143,78.5714,80,82.7586,0.798469,
post,EEG,14,Neural network (MLP),85.7143,71.4286,100,100,83.3333,0.903061,
post,HR,14,SVM,50,64.2857,35.7143,50,56.25,0.459184,
post,HR,14,k-nearest neighbours,46.4286,21.4286,71.4286,42.8571,28.5714,0.484694,
post,HR,14,Naive Bayes,50,42.8571,57.1429,50,46.1538,0.5,
post,HR,14,Random forest,46.4286,57.1429,35.7143,47.0588,51.6129,0.528061,
post,HR,14,Decision tree,53.5714,35.7143,71.4286,55.5556,43.4783,0.530612,
post,HR,14,Neural network (MLP),50,64.2857,35.7143,50,56.25,0.489796,
post,EEG+HR,14,SVM,82.1429,78.5714,85.7143,84.6154,81.4815,0.852041,
post,EEG+HR,14,k-nearest neighbours,78.5714,64.2857,92.8571,90,75,0.918367,
post,EEG+HR,14,Naive Bayes,78.5714,78.5714,78.5714,78.5714,78.5714,0.854592,
post,EEG+HR,14,Random forest,85.7143,85.7143,85.7143,85.7143,85.7143,0.959184,
post,EEG+HR,14,Decision tree,82.1429,85.7143,78.5714,80,82.7586,0.798469,
post,EEG+HR,14,Neural network (MLP),82.1429,71.4286,92.8571,90.9091,80,0.897959,
